Observation,Thickness,Intensity,Output 1,Output 2,Output 3,Alarm
0,-15.0,1161.0,0,1,0,0
1,-15.0,1164.0,0,1,0,0
2,-8.0,1162.0,0,1,0,0
3,-6.0,1163.0,0,1,0,0
4,-10.0,1160.0,0,1,0,0
5,-10.0,1160.0,0,1,0,0
6,-10.0,1158.0,0,1,0,0
7,-13.0,1159.0,0,1,0,0
8,-12.0,1160.0,0,1,0,0
9,-18.0,1162.0,0,1,0,0
10,-15.0,1159.0,0,1,0,0
11,-15.0,1157.0,0,1,0,0
12,-17.0,1158.0,0,1,0,0
13,-15.0,1158.0,0,1,0,0
14,-20.0,1159.0,0,1,0,0
15,-24.0,1159.0,0,1,0,0
16,-22.0,1157.0,0,1,0,0
17,-21.0,1158.0,0,1,0,0
18,-18.0,1159.0,0,1,0,0
19,-20.0,1160.0,0,1,0,0
20,-23.0,1160.0,0,1,0,0
21,-23.0,1159.0,0,1,0,0
22,-23.0,1160.0,0,1,0,0
23,-24.0,1160.0,0,1,0,0
24,-26.0,1160.0,0,1,0,0
25,-24.0,1161.0,0,1,0,0
26,-25.0,1160.0,0,1,0,0
27,-25.0,1161.0,0,1,0,0
28,-28.0,1162.0,0,1,0,0
29,-25.0,1159.0,0,1,0,0
30,-32.0,1160.0,0,1,0,0
31,-32.0,1158.0,0,1,0,0
32,-32.0,1161.0,0,1,0,0
33,-27.0,1163.0,0,1,0,0
34,-30.0,1161.0,0,1,0,0
35,-34.0,1162.0,0,1,0,0
36,-31.0,1161.0,0,1,0,0
37,-29.0,1161.0,0,1,0,0
38,-31.0,1162.0,0,1,0,0
39,-47.0,1163.0,0,1,0,0
40,-31.0,1160.0,0,1,0,0
41,-27.0,1158.0,0,1,0,0
42,-40.0,1162.0,0,1,0,0
43,-27.0,1159.0,0,1,0,0
44,-36.0,1161.0,0,1,0,0
45,-29.0,1160.0,0,1,0,0
46,-37.0,1162.0,0,1,0,0
47,-33.0,1162.0,0,1,0,0
48,-36.0,1160.0,0,1,0,0
49,-35.0,1161.0,0,1,0,0
50,-35.0,1158.0,0,1,0,0
51,-30.0,1159.0,0,1,0,0
52,-37.0,1157.0,0,1,0,0
53,-37.0,1158.0,0,1,0,0
54,-32.0,1160.0,0,1,0,0
55,-41.0,1162.0,0,1,0,0
56,-28.0,1160.0,0,1,0,0
57,-41.0,1161.0,0,1,0,0
58,-29.0,1159.0,0,1,0,0
59,-31.0,1157.0,0,1,0,0
60,-25.0,1157.0,0,1,0,0
61,-32.0,1161.0,0,1,0,0
62,-38.0,1158.0,0,1,0,0
63,-34.0,1160.0,0,1,0,0
64,-32.0,1160.0,0,1,0,0
65,-31.0,1160.0,0,1,0,0
66,-31.0,1157.0,0,1,0,0
67,-31.0,1161.0,0,1,0,0
68,-37.0,1157.0,0,1,0,0
69,-34.0,1159.0,0,1,0,0
70,-32.0,1157.0,0,1,0,0
71,-35.0,1159.0,0,1,0,0
72,-28.0,1159.0,0,1,0,0
73,-33.0,1156.0,0,1,0,0
74,-36.0,1158.0,0,1,0,0
75,-35.0,1159.0,0,1,0,0
76,-30.0,1155.0,0,1,0,0
77,-40.0,1159.0,0,1,0,0
78,-32.0,1157.0,0,1,0,0
